Tipo de Especie,Cantidad Producida,Mes,Año,
Coralillos enano,25,Enero,2023,
Costilla de Adan,13,Enero,2023,
Copey,264,Enero,2023,
Cordelines,4,Enero,2023,
Corazon de paloma,3,Enero,2023,
Cucaracha,300,Enero,2023,
Cuerno de Venado,90,Enero,2023,
Cheflera,74,Enero,2023,
Cheflera enana,8,Enero,2023,
Crotos,5839,Enero,2023,
Copa palo de Brasil ,31,Enero,2023,
Dianela,180,Enero,2023,
Diente de dragon,289,Enero,2023,
Escabiola,1262,Enero,2023,
Ficus ale Adulto,16,Enero,2023,
Filodendro Grande,6,Enero,2023,
Filodendro ,45,Enero,2023,
Flor de Bayahibe,55,Enero,2023,
Flor de pascua,11,Enero,2023,
Framboyan,65,Enero,2023,
Gallego Matizado,640,Enero,2023,
Gallego Perejil,60,Enero,2023,
Guardia Civil,160,Enero,2023,
Guayacan,366,Enero,2023,
Guayiga,2,Enero,2023,
Guanabana,17,Enero,2023,
Granada,50,Enero,2023,
Grocella,4,Enero,2023,
Gramberry ,7,Enero,2023,
Helecho,140,Enero,2023,
Higuero,220,Enero,2023,
Iris blanca,25,Enero,2023,
Iris Amarilla,100,Enero,2023,
Jacaranda,320,Enero,2023,
Jazmin,40,Enero,2023,
Jengire,50,Enero,2023,
Juan Primero,91,Enero,2023,
Lengua de Vaca Enana,950,Enero,2023,
Lengua de Vaca Grande,391,Enero,2023,
lechosa,16,Enero,2023,
Limoncillo frutal,48,Enero,2023,
Limoncillo Aromatico,300,Enero,2023,
Llorona,9,Enero,2023,
Lluvia de coral,2690,Enero,2023,
Nispero,1,Enero,2023,
Malva Roja,100,Enero,2023,
Marginata ,19,Enero,2023,
Malva Verde,1750,Enero,2023,
Masanyana,35,Enero,2023,
Mondongro,144,Enero,2023,
Nia,3,Enero,2023,
Orquidea de tierra,110,Enero,2023,
Oregano Verde,35,Enero,2023,
Oregano plateado ,35,Enero,2023,
Pajon Blanco,425,Enero,2023,
Pajon Rojo,157,Enero,2023,
Pajon Enano,160,Enero,2023,
Palma Alexandra,2686,Enero,2023,
Palo de Brasil,166,Enero,2023,
Palma Cana,277,Enero,2023,
Palma Carpintero,700,Enero,2023,
Palma Coco Plumoso,400,Enero,2023,
Palma Manila,1930,Enero,2023,
Palma cola de zorro,262,Enero,2023,
Palma Yarey,164,Enero,2023,
Palma Santiago,806,Enero,2023,
Palma washingtonia,16,Enero,2023,
Palma Robelina,380,Enero,2023,
Pintalabios,180,Enero,2023,
Pulpura,130,Enero,2023,
Penda,5,Enero,2023,
Progreso,14,Enero,2023,
Rosas del Peru,40,Enero,2023,
Reflexa,860,Enero,2023,
Robles Amarillo,3046,Enero,2023,
Robles Morado,340,Enero,2023,
Romana,1,Enero,2023,
Rosas,130,Enero,2023,
sabila,6,Enero,2023,
Saman,3,Enero,2023,
Sanchezca,236,Enero,2023,
Seria de Dia y Puta de Noche,200,Enero,2023,
Suculenta,40,Enero,2023,
Taberna Montana,110,Enero,2023,
Tamarindo ,520,Enero,2023,
Trinitarias,1398,Enero,2023,
Tocador,505,Enero,2023,
Uva de playa,189,Enero,2023,
Uva de Sierra,110,Enero,2023,
Violetas,4420,Enero,2023,
Voladora,250,Enero,2023,
gingere,200,Enero,2023,
zapatico verde,1816,Enero,2023,
Zapatico matizado,780,Enero,2023,
Aguacate,16,Febrero,2023,
Almendra,424,Febrero,2023,
Aleli,280,Febrero,2023,
Aleli Adulto,85,Febrero,2023,
Agave,997,Febrero,2023,
Avellana,456,Febrero,2023,
Algodón,225,Febrero,2023,
Aromatica,200,Febrero,2023,
Albolito Chino ,409,Febrero,2023,
Anis de estrella,8,Febrero,2023,
Arroz Chino ,27,Febrero,2023,
Bambu Enano,150,Febrero,2023,
Bambu Grande,23,Febrero,2023,
Begonia,100,Febrero,2023,
Cayena ,3420,Febrero,2023,
Cactus,37,Febrero,2023,
Cafè,5,Febrero,2023,
Caricatura,480,Febrero,2023,
Caoba Criolla,8,Febrero,2023,
Cancion de la india,111,Febrero,2023,
Caoba Hondureña,7,Febrero,2023,
Carambola ,2,Febrero,2023,
Caimoni,120,Febrero,2023,
Caucho,3,Febrero,2023,
Caimito,130,Febrero,2023,
Calmani,120,Febrero,2023,
Capricho,50,Febrero,2023,
Coralillos ,168,Febrero,2023,
Coralillo Enano,25,Febrero,2023,
Costilla De Adam,2,Febrero,2023,
Copey,212,Febrero,2023,
Cordelines,4,Febrero,2023,
Cucaracha,290,Febrero,2023,
Cuerno de Venado,69,Febrero,2023,
Chiflera,4,Febrero,2023,
 Chiflera Enana,19,Febrero,2023,
Crotos ,7020,Febrero,2023,
Copa Palo De Brasil ,16,Febrero,2023,
Dianela ,100,Febrero,2023,
Diente de dragon,242,Febrero,2023,
Escabiola,1047,Febrero,2023,
Ficus ale Adulto,16,Febrero,2023,
Filodendro Grande,16,Febrero,2023,
Filodendro,49,Febrero,2023,
Flor de Bayahibe,130,Febrero,2023,
Flor De Pascua,119,Febrero,2023,
Framboyan,43,Febrero,2023,
Gallego Matizado,510,Febrero,2023,
Gallego Perejil,22,Febrero,2023,
Guardia Civil,150,Febrero,2023,
Guayacan,391,Febrero,2023,
Guayiga ,2,Febrero,2023,
Guanabana,5,Febrero,2023,
Granada,24,Febrero,2023,
Grocella,4,Febrero,2023,
Gramberry,27,Febrero,2023,
Helecho,240,Febrero,2023,
Higuero,295,Febrero,2023,
Hierba Luisa ,104,Febrero,2023,
Iris blanca,39,Febrero,2023,
Iris blanca,39,Febrero,2023,
Jacaranda,377,Febrero,2023,
Jazmin,38,Febrero,2023,
Jengire,200,Febrero,2023,
Juan Primero,461,Febrero,2023,
Lengua de Vaca Enana,785,Febrero,2023,
Lengua de Vaca Grande,388,Febrero,2023,
lechosa,14,Febrero,2023,
Limoncillo Frutal,50,Febrero,2023,
Limoncillo Aramotico,300,Febrero,2023,
Llorona,8,Febrero,2023,
Lluvia de coral,1670,Febrero,2023,
Nispero,1,Febrero,2023,
Malva Roja,17,Febrero,2023,
Marginata ,21,Febrero,2023,
Malva Verde,1373,Febrero,2023,
Mara,1430,Febrero,2023,
Masanyana,12,Febrero,2023,
Mango,2,Febrero,2023,
Nia,3,Febrero,2023,
Orquidea de tierra,44,Febrero,2023,
Oregano Verde,33,Febrero,2023,
Pajon Blanco,359,Febrero,2023,
Pajon Rojo,150,Febrero,2023,
Pajon Enano,160,Febrero,2023,
Palma Alexandra,2919,Febrero,2023,
Aguacate,19,Marzo,2023,
Almendra,540,Marzo,2023,
Aleli,100,Marzo,2023,
Aleli Adulto,77,Marzo,2023,
Agave,1194,Marzo,2023,
Avellana,280,Marzo,2023,
Algodón,210,Marzo,2023,
Aromatica,200,Marzo,2023,
Arbolito chino,459,Marzo,2023,
Ani de estrella,63,Marzo,2023,
Arroz Chino ,10,Marzo,2023,
Bambu Enano,165,Marzo,2023,
Bambu Grande,27,Marzo,2023,
Begonia,110,Marzo,2023,
Bromelia,100,Marzo,2023,
Cayena,2994,Marzo,2023,
Cactus,19,Marzo,2023,
Café,16,Marzo,2023,
Caricatura,180,Marzo,2023,
Caoba Criolla,17,Marzo,2023,
Cancion de la india,170,Marzo,2023,
Caoba Hondureña,7,Marzo,2023,
Carambola ,5,Marzo,2023,
Caimoni,160,Marzo,2023,
Caucho,1,Marzo,2023,
Caimito,15,Marzo,2023,
Calmani,120,Marzo,2023,
Capricho,36,Marzo,2023,
Coralillos,160,Marzo,2023,
Coralillos enano,25,Marzo,2023,
Costilla de Adan,13,Marzo,2023,
Copey,264,Marzo,2023,
Cordelines,4,Marzo,2023,
Corazon de paloma,3,Marzo,2023,
Cucaracha,300,Marzo,2023,
Cuerno de Venado,90,Marzo,2023,
Cheflera,74,Marzo,2023,
Cheflera enana,8,Marzo,2023,
Crotos,5839,Marzo,2023,
Copa Palo De Brasil ,31,Marzo,2023,
Dianela,180,Marzo,2023,
Diente de dragon,287,Marzo,2023,
Escabiola,1262,Marzo,2023,
Ficus Ale Adulto,16,Marzo,2023,
Filodendro Grande,6,Marzo,2023,
Filodendro,45,Marzo,2023,
Flor de Bayahibe,150,Marzo,2023,
Flor De Pascua,11,Marzo,2023,
Framboyan,65,Marzo,2023,
Gallego Matizado,640,Marzo,2023,
Gallego Perejil,60,Marzo,2023,
Guardia Civil,160,Marzo,2023,
Guayacan,376,Marzo,2023,
Guayiga,2,Marzo,2023,
Guanabana,17,Marzo,2023,
Granada,50,Marzo,2023,
Grocella,4,Marzo,2023,
Gramberry,7,Marzo,2023,
Helecho,140,Marzo,2023,
Higuero,220,Marzo,2023,
Iris blanca,25,Marzo,2023,
Iris Amarilla,100,Marzo,2023,
Jacaranda,320,Marzo,2023,
Jazmin,40,Marzo,2023,
Jengire,50,Marzo,2023,
Juan Primero,91,Marzo,2023,
Lengua de Vaca Enana,950,Marzo,2023,
Lengua de Vaca Grande,391,Marzo,2023,
lechoza,16,Marzo,2023,
Limoncillo Frutal,48,Marzo,2023,
Limoncillo Aromatico,300,Marzo,2023,
Llorona,9,Marzo,2023,
Lluvia de coral,2690,Marzo,2023,
Nispero,1,Marzo,2023,
Malva Roja,100,Marzo,2023,
Marginata ,19,Marzo,2023,
Malva Verde,1750,Marzo,2023,
Masanyana,35,Marzo,2023,
Mondongro,144,Marzo,2023,
Nia,3,Marzo,2023,
Orquidea de tierra,110,Marzo,2023,
Oregano Verde,35,Marzo,2023,
Oregano plateado ,35,Marzo,2023,
Pajon Blanco,425,Marzo,2023,
Pajon Rojo,157,Marzo,2023,
Pajon Enano,160,Marzo,2023,
Palma Alexandra,2686,Marzo,2023,
Palo de Brasil,166,Marzo,2023,
Palma Cana,277,Marzo,2023,
Palma Carpintero,700,Marzo,2023,
Palma Coco Plumoso,400,Marzo,2023,
Palma Manila,1930,Marzo,2023,
Palma Cola de Zorro,262,Marzo,2023,
Palma Yarey,164,Marzo,2023,
Palma Santiago,806,Marzo,2023,
Palma washingtonia,16,Marzo,2023,
Palma Robelina,380,Marzo,2023,
Pintalabios,180,Marzo,2023,
Pulpura,130,Marzo,2023,
Penda,5,Marzo,2023,
Progreso,14,Marzo,2023,
Rosas del Peru,40,Marzo,2023,
Reflexa,860,Marzo,2023,
Robles Amarillo,3046,Marzo,2023,
Robles Morado,340,Marzo,2023,
Romana,1,Marzo,2023,
Rosas,130,Marzo,2023,
Sabila,6,Marzo,2023,
Saman,3,Marzo,2023,
Sanchezca,236,Marzo,2023,
Seria de Dia y Puta de Noche,200,Marzo,2023,
Suculenta,40,Marzo,2023,
Taberna Montana,111,Marzo,2023,
Tamarindo ,520,Marzo,2023,
Trinitarias,1398,Marzo,2023,
Tocador,503,Marzo,2023,
Uva de playa,189,Marzo,2023,
Uva de Sierra,110,Marzo,2023,
Violetas,4420,Marzo,2023,
Voladora,250,Marzo,2023,
Yinyere,200,Marzo,2023,
zapatico verde,1816,Marzo,2023,
Zapatico matizado,780,Marzo,2023,
Almendra,400,Abril,2023,
Aleli,135,Abril,2023,
Aleli dulto ,46,Abril,2023,
Agave,870,Abril,2023,
Avellana,300,Abril,2023,
Agodon,100,Abril,2023,
Aromatica,295,Abril,2023,
Albolito Chino ,147,Abril,2023,
Begonia,60,Abril,2023,
Cayena,3791,Abril,2023,
Cactus,18,Abril,2023,
Café,2,Abril,2023,
Caricatura,27,Abril,2023,
Cancion de la india,15,Abril,2023,
Caoba Hondureña,7,Abril,2023,
Carambola ,5,Abril,2023,
Caimoni,440,Abril,2023,
Coralillo,155,Abril,2023,
Costilla de Adam,12,Abril,2023,
Copey,170,Abril,2023,
Cola de caballo ,1330,Abril,2023,
Cucaracha,260,Abril,2023,
Cuerno de Venado,120,Abril,2023,
Cheflera Grande,30,Abril,2023,
Crotos,4610,Abril,2023,
Copa Palo De Brasil ,10,Abril,2023,
Dianela ,160,Abril,2023,
Diente de dragon,145,Abril,2023,
Escabiola,1792,Abril,2023,
Ficus Lyrata,1,Abril,2023,
Filodendro ,110,Abril,2023,
Flor de Bayahibe,55,Abril,2023,
Framboyan,40,Abril,2023,
Gallego Matizado,1620,Abril,2023,
Gallego perejir,10,Abril,2023,
Guayacan,290,Abril,2023,
Guanabana,10,Abril,2023,
Grocella,4,Abril,2023,
Gramberry,21,Abril,2023,
Helecho,21,Abril,2023,
higuero,230,Abril,2023,
Iris blanca,146,Abril,2023,
Iris Amarilla,50,Abril,2023,
Jacaranda,340,Abril,2023,
Jazmin,40,Abril,2023,
Jengire,170,Abril,2023,
Juan Primero,300,Abril,2023,
Lengua de Vaca Enana,1110,Abril,2023,
Lengua de Vaca Grande,100,Abril,2023,
Lechoza,12,Abril,2023,
Limoncillo americano,100,Abril,2023,
Limoncillo Aromatico,300,Abril,2023,
Llorona,1,Abril,2023,
Lluvia de coral,1050,Abril,2023,
Malva Roja ,410,Abril,2023,
Marginata ,15,Abril,2023,
Marva Verde,820,Abril,2023,
Mantequilla ,70,Abril,2023,
Mansayana,11,Abril,2023,
Maguey,950,Abril,2023,
Nia,3,Abril,2023,
Orquidea de tierra,200,Abril,2023,
Oregano Verde,7,Abril,2023,
Pajon Blanco,135,Abril,2023,
Pajon Rojo,310,Abril,2023,
Pajon Enano,160,Abril,2023,
Palma Alexandra,295,Abril,2023,
Palma Areca,10,Abril,2023,
Palma Yarey,560,Abril,2023,
Palo de Brasil,22,Abril,2023,
Palma Coco Plumoso,500,Abril,2023,
Palma Manila,580,Abril,2023,
Palma Cola de Zorro,100,Abril,2023,
Palma Santiago,565,Abril,2023,
Palma Robelina,50,Abril,2023,
Pintalabios,180,Abril,2023,
Pulpura,150,Abril,2023,
Palma washingtonia,300,Abril,2023,
Progreso,9,Abril,2023,
Reflexa,2161,Abril,2023,
Robles Amarillo,1030,Abril,2023,
Robles Morado,2320,Abril,2023,
Seria de Dia y Puta de Noche,200,Abril,2023,
Suculenta,100,Abril,2023,
Tamarindo,400,Abril,2023,
Trinitarias,1590,Abril,2023,
Tocador ,353,Abril,2023,
Uva de playa,3630,Abril,2023,
Uva de Sierra,10,Abril,2023,
Violetas,1160,Abril,2023,
Voladora,400,Abril,2023,
Rosa ,1,Abril,2023,
Suculenta,6,Abril,2023,
Flor del Peru ,2,Abril,2023,
Wife,40,Abril,2023,
zapatico verde,4190,Abril,2023,
Zapatico matizado,370,Abril,2023,
Almendra,450,Mayo,2023,
Aguacate,2,Mayo,2023,
Aleli,66,Mayo,2023,
Aleli Adulto,61,Mayo,2023,
Agave,1165,Mayo,2023,
Avellana,200,Mayo,2023,
Algodón,100,Mayo,2023,
Aromatica,170,Mayo,2023,
Albolito Chino ,40,Mayo,2023,
Bambu Grande,18,Mayo,2023,
Cayena,1991,Mayo,2023,
Cactus,2,Mayo,2023,
Caoba Criolla,6,Mayo,2023,
Caimoni,140,Mayo,2023,
Corazon de paloma,2,Mayo,2023,
Coralillos,61,Mayo,2023,
Costilla De Adam,7,Mayo,2023,
Cheflera enana,10,Mayo,2023,
Copey,106,Mayo,2023,
Cucaracha,120,Mayo,2023,
Cuerno de Venado,71,Mayo,2023,
Crotos ,2499,Mayo,2023,
Dianela,80,Mayo,2023,
Diente de dragon,140,Mayo,2023,
Escabiola,713,Mayo,2023,
Ficus Ale,17,Mayo,2023,
Ficus Lyrata,33,Mayo,2023,
Filodendro,80,Mayo,2023,
Flor de Bayahibe,36,Mayo,2023,
Framboyan,680,Mayo,2023,
Gallego Matizado,10,Mayo,2023,
Guarana,1,Mayo,2023,
Guayiga,299,Mayo,2023,
Guallacan,28,Mayo,2023,
Granada,15,Mayo,2023,
Gramberry,30,Mayo,2023,
Helecho,160,Mayo,2023,
higuero,280,Mayo,2023,
Jacaranda,505,Mayo,2023,
Juan Primero,475,Mayo,2023,
Lengua De Vaca Grande ,48,Mayo,2023,
Limoncillo Frutal,4,Mayo,2023,
Llorona,2150,Mayo,2023,
Lluvia de coral,140,Mayo,2023,
Malva Roja ,14,Mayo,2023,
Marginata ,1404,Mayo,2023,
Malva Verde,115,Mayo,2023,
Mantequilla ,6,Mayo,2023,
Masanyana,28,Mayo,2023,
Orquidea de tierra,247,Mayo,2023,
Pajon Blanco,25,Mayo,2023,
Pajon Rojo,8,Mayo,2023,
Pajon Enano,265,Mayo,2023,
Palma Cana,1580,Mayo,2023,
Palma Alexandra,1150,Mayo,2023,
Palma Coco Plumoso,1200,Mayo,2023,
Palma Manila,14,Mayo,2023,
Palma Cola de Zorro,450,Mayo,2023,
Palma Carpintero,40,Mayo,2023,
Palma Yarey,720,Mayo,2023,
Palma Santiago,120,Mayo,2023,
Pitahaya,5,Mayo,2023,
Penda,5,Mayo,2023,
Progreso,1077,Mayo,2023,
Reflexa,1710,Mayo,2023,
Roble Amariilo,620,Mayo,2023,
Roble Morado,110,Mayo,2023,
Seria de Dia y Puta de Noche,4,Mayo,2023,
Sabila,400,Mayo,2023,
Tamarindo,47,Mayo,2023,
Taberna Montana,210,Mayo,2023,
Trinitarias,640,Mayo,2023,
Tocador ,1195,Mayo,2023,
Uva de playa,1370,Mayo,2023,
Violetas,240,Mayo,2023,
Voladora,45,Mayo,2023,
Yinyere,18,mayo,2023,
Wife,2690,Mayo,2023,
zapatico verde,370,Mayo,2023,
Zapatico matizado,31355,Mayo,2023,
Atenia ,130,Mayo,2023,
Begonia,15,Mayo,2023,
Capricho,15,Mayo,2023,
Cattleya,8,Mayo,2023,
Cactus,142,Mayo,2023,
Crossandra,5,Mayo,2023,
Calenchoe,10,Mayo,2023,
Dendrobium,64,Mayo,2023,
Esparrago,5,mayo,2023,
Espotalotti,5,Mayo,2023,
Falenosis,3,Mayo,2023,
Gongora ,2,Mayo,2023,
24 horas,20,Mayo,2023,
Lengua de Vaca Enana,4,Mayo,2023,
Lengua de vaca matizada,5,Mayo,2023,
Isabel Segunda,3,Mayo,2023,
Jade,28,Mayo,2023,
Mala Madre,5,Mayo,2023,
Mijuaquina,32,Mayo,2023,
Oncidium,9,Mayo,2023,
Pintalabios,5,Mayo,2023,
Phalaenopis,3,Mayo,2023,
Peperonia,7,Mayo,2023,
Romero,10,Mayo,2023,
Trebol,2,Mayo,2023,
Trasdecandia,7,Mayo,2023,
Trinitarias,10,Mayo,2023,
Sarmia,29,Mayo,2023,
Sinbidium,55,Mayo,2023,
Suculenta,98,Mayo,2023,
Vanda,1,Mayo,2023,
Vainilla,1,Mayo,2023,
Almendra,350,Junio,2023,
Aleli,70,Junio,2023,
Aleli Adulto,61,Junio,2023,
Agave,1240,Junio,2023,
Avellana,200,Junio,2023,
Algodón,95,Junio,2023,
Aromatica,205,Junio,2023,
Ani de estrella,4,Junio,2023,
Bambu Grande,18,Junio,2023,
Cayena,2064,Junio,2023,
Cactus,13,Junio,2023,
Caoba Criolla,7,Junio,2023,
Carambola ,7,Junio,2023,
Caimoni,100,Junio,2023,
Caricatura,250,Junio,2023,
Coralillos,23,Junio,2023,
Costilla De Adam,5,Junio,2023,
Cheflera enana,15,Junio,2023,
Copey,107,Junio,2023,
Cucaracha,120,Junio,2023,
Cuerno de Venado,66,Junio,2023,
Crotos,2077,Junio,2023,
Dianela,8,Junio,2023,
Diente de dragon,140,Junio,2023,
Escabiola ,587,Junio,2023,
Ficus Ale,16,Junio,2023,
Filodendro,29,Junio,2023,
Flor de Bayahibe,190,Junio,2023,
Framboyan,28,Junio,2023,
Gallego Perejil,16,Junio,2023,
Gallego Matizado,710,Junio,2023,
Guarana,792,Junio,2023,
Guayiga,1,Junio,2023,
Guayacan,245,Junio,2023,
Granberry,126,Junio,2023,
Helecho,13,Junio,2023,
higuero,145,Junio,2023,
Jacaranda,200,Junio,2023,
Juan Primero,422,Junio,2023,
Lengua de Vaca Enana,200,Junio,2023,
Lengua De Vaca Grande,470,Junio,2023,
Limoncillo Frutal,48,Junio,2023,
Lluvia de coral,2150,Junio,2023,
Malva Roja,637,Junio,2023,
Marginata ,10,Junio,2023,
Marva Verde,648,Junio,2023,
Mantequilla ,10,Junio,2023,
Mansayana,4,Junio,2023,
Orquidea de tierra,40,Junio,2023,
Pajon Blanco,300,Junio,2023,
Pajon Rojo,5,Junio,2023,
Palma Cana,467,Junio,2023,
Palma Alexandra,2480,Junio,2023,
Palma Coco Plumoso,960,Junio,2023,
Palma Manila,760,Junio,2023,
Palma Cola de Zorro,15,Junio,2023,
Palma Carpintero,410,Junio,2023,
Palma Yarey,250,Junio,2023,
Palma Santiago,995,Junio,2023,
Pintalabios,170,Junio,2023,
Penda,7,Junio,2023,
Progreso,4,Junio,2023,
Rosas,270,Junio,2023,
Reflexa,675,Junio,2023,
Romana,1,Junio,2023,
Roble Amariilo,1675,Junio,2023,
Robles Morado,285,Junio,2023,
Seria de Dia y Puta de Noche,120,Junio,2023,
Suculenta,49,Junio,2023,
Sabila,3,Junio,2023,
Tamarindo,350,Junio,2023,
Taberna Montana,40,Junio,2023,
Trinitarias,126,Junio,2023,
Tocador ,40,Junio,2023,
Uva de playa,453,Junio,2023,
Violetas,1380,Junio,2023,
Voladora,200,Junio,2023,
Yinyere,30,Junio,2023,
zapatico verde,2320,Junio,2023,
Zapatico matizado,250,Junio,2023,
Atenia ,85,Junio,2023,
Brassavola,13,Junio,2023,
Begonia,10,Junio,2023,
Bromelia,10,Junio,2023,
Capricho,35,Junio,2023,
Cattleya,12,Junio,2023,
Cactus,147,Junio,2023,
Cayenas,10,Junio,2023,
Crossandra,5,Junio,2023,
Calenchoe,10,Junio,2023,
Dendrobium,60,Junio,2023,
Espotalotti,5,Junio,2023,
Falenosis,3,Junio,2023,
Gongora ,2,Junio,2023,
Jade,26,Junio,2023,
Maxillaria,2,Junio,2023,
Mala Madre,10,Junio,2023,
Mijuaquina,35,Junio,2023,
Oncidium,63,Junio,2023,
Pintalabios,6,Junio,2023,
Phalaenopis,3,Junio,2023,
Peperonia,3,Junio,2023,
Romero,7,Junio,2023,
Trebol,2,Junio,2023,
Sarmia,25,Junio,2023,
Suculenta,72,Junio,2023,
Vanda ,1,Junio,2023,
Vainilla,1,Junio,2023,
Almendra,170,julio,2023,
Aleli,64,julio,2023,
Aleli Adulto,48,julio,2023,
Agave,315,julio,2023,
Avellana,180,julio,2023,
Algodón,35,julio,2023,
Arroz Chino ,310,julio,2023,
Aromatica,80,julio,2023,
Bambu Grande,18,julio,2023,
Bromelia,20,julio,2023,
Cayena,2341,julio,2023,
Cactus,5,julio,2023,
Cajuil,70,julio,2023,
Caoba Criolla,8,julio,2023,
Caimoni,90,julio,2023,
Caricatura,180,julio,2023,
Coralillos,80,julio,2023,
Costilla De Adam,4,julio,2023,
Cheflera,5,julio,2023,
Copey,115,julio,2023,
Cucaracha,150,julio,2023,
Cuerno de Venado,70,julio,2023,
Crotos,283,julio,2023,
Dianela,42,julio,2023,
Diente de dragon,120,julio,2023,
Escabiola,566,julio,2023,
Ficus Ale ,16,julio,2023,
Filodendro,34,julio,2023,
Flor de Bayahibe,157,julio,2023,
Framboyan,20,julio,2023,
Gallego Perejil,357,julio,2023,
Gallego Matizado,724,julio,2023,
Guarana,780,julio,2023,
Guallacan,237,julio,2023,
Granada,35,julio,2023,
Gramberry,90,julio,2023,
Helecho,6,julio,2023,
higuero,150,julio,2023,
Jacaranda,150,julio,2023,
Juan Primero,648,julio,2023,
Lengua de Vaca Enana,25,julio,2023,
Lengua De Vaca Grande,380,julio,2023,
Limonsillo Frutal,51,julio,2023,
Lluvia de coral,2010,julio,2023,
Malva Roja,150,julio,2023,
Marginata ,12,julio,2023,
Mara,130,julio,2023,
Marva Verde,1194,julio,2023,
Mansayana,2,julo,2023,
Orquidea de tierra,26,julio,2023,
Pajon blanco,254,julio,2023,
Pajon Rojo,160,julio,2023,
Palma Cana ,315,julio,2023,
Palma Alexandra,2440,julio,2023,
Palma Coco Plumoso,310,julio,2023,
Palma Manila,1033,julio,2023,
Palma Cola de Zorro,30,julio,2023,
Palma Carppintero ,610,julio,2023,
Palma Yarey,800,julio,2023,
Palma Santiago,738,julio,2023,
Palma Robelina,520,julio,2023,
Pintalabios,190,julio,2023,
Progreso,5,julio,2023,
Rosas,110,julio,2023,
Reflexa,775,julio,2023,
Roble Amariilo,1166,julio,2023,
Robles Morado,567,julio,2023,
Seria de Dia y Puta de Noche,140,julio,2023,
Suculenta ,28,julio,2023,
Tamarindo,410,julio,2023,
Taberna Montana,30,julio,2023,
Trinitarias,30,julio,2023,
Uva de playa,647,julio,2023,
Voladora,250,julio,2023,
Yinyere,60,julio,2023,
zapatico verde,3020,julio,2023,
Zapatico matizado,1071,julio,2023,
Atenia ,55,julio,2023,
Brassavola,2,julio,2023,
Begonia,5,julio,2023,
Cattleya,5,julio,2023,
Cactus,40,julio,2023,
Calenchoe,8,julio,2023,
Dendrobium Aggragantum,12,julio,2023,
DendroBium,110,julio,2023,
Dendrobium Calante,1,julio,2023,
Espotalotti,5,julio,2023,
Falenosis,17,julio,2023,
Gongora ,4,julio,2023,
Jade ,10,julio,2023,
Maxillaria,2,julio,2023,
Moje Maculata ,3,julio,2023,
Mijuaquina,28,julio,2023,
Oncidium,10,julio,2023,
Peristeria Elata,6,julio,2023,
Epidendrum,15,julio,2023,
Tolumnia,8,julio,2023,
Sarmia,24,julio,2023,
Suculenta,55,julio,2023,
Vanda,9,julio,2023, 
Vainila ,5,julio,2023,
Almendra,130,Agosto,2023,
Aleli,75,Agosto,2023,
Aleli Adulto,49,Agosto,2023,
Agave,182,Agosto,2023,
Avellana,150,Agosto,2023,
Algodón,90,Agosto,2023,
Arroz Chino ,150,Agosto,2023,
Aromatica,50,Agosto,2023,
Bambu Grande,18,Agosto,2023,
Bromelia,2,Agosto,2023,
Cayena,2535,Agosto,2023,
Cactus,5,Agosto,2023,
Cajul,280,Agosto,2023,
Caoba Criolla,3,Agosto,2023,
Caimoni,110,Agosto,2023,
Caricatura,160,Agosto,2023,
Coralillos,240,Agosto,2023,
Costilla De Adam,2,Agosto,2023,
Cheflera ,37,Agosto,2023,
Copey,114,Agosto,2023,
Cucaracha,140,Agosto,2023,
Cuerno de Venado,78,Agosto,2023,
Crotos ,140,Agosto,2023,
Dianela ,29,Agosto,2023,
Diente de dragon,265,Agosto,2023,
Escabiola,435,Agosto,2023,
Ficus Ale,16,Agosto,2023,
Filodendro,36,Agosto,2023,
Flor de Bayahibe,210,Agosto,2023,
Flor del Peru ,9,Agosto,2023,
Framboyan,315,Agosto,2023,
Gallego Perejil,150,Agosto,2023,
Gallego Matizado,730,Agosto,2023,
Guarana,767,Agosto,2023,
Guayacan,238,Agosto,2023,
Guardia Civil,110,Agosto,2023,
Gramberry,150,Agosto,2023,
Higuero Enano ,150,Agosto,2023,
Higuero ,160,Agosto,2023,
Iris blanca,7,Agosto,2023,
Jacaranda ,110,Agosto,2023,
Juan Primero,515,Agosto,2023,
Lengua de Vaca Enana,80,Agosto,2023,
Lengua de Vaca Grande,423,Agosto,2023,
Limoncillo frutal,53,Agosto,2023,
Lluvia de coral,1690,Agosto,2023,
Mava Roja,90,Agosto,2023,
Marginata ,9,Agosto,2023,
Mara ,160,Agosto,2023,
Malva Verde,1235,Agosto,2023,
Mantequilla ,70,Agosto,2023,
Manzayana,8,Agosto,2023,
Orquidea de tierra,28,Agosto,2023,
Pajan Blaco,185,Agosto,2023,
Pajon Rojo,212,Agosto,2023,
Palma Areca ,170,Agosto,2023,
Palma Cana,160,Agosto,2023,
Palma Alexandra,2550,Agosto,2023,
Palma Coco Plumoso,1370,Agosto,2023,
Palma Manila,1030,Agosto,2023,
Palma Cola de Zorro,31,Agosto,2023,
Palma Guano,149,Agosto,2023,
Palma Yarey,180,Agosto,2023,
Palma Santiago,630,Agosto,2023,
Palma Robelina,330,Agosto,2023,
Pintalabios,290,Agosto,2023,
Pino Cubano,50,Agosto,2023,
Penda,7,Agosto,2023,
Progreso,25,Agosto,2023,
Rosas,140,Agosto,2023,
